code,name,country,route_count,importance,hub_count
VK,Virgin Nigeria Airways,Nigeria,0,0.0,0
VF,Valuair,Singapore,6,0.0024154589,3
VE,Volare Airlines,Italy,0,0.0,0
LC,Varig Log,Brazil,16,0.0064412238,3
XF,Vladivostok Air,Russia,0,0.0,0
ZG,Viva Macau,Macao,0,0.0,0
U5,USA3000 Airlines,United States,0,0.0,0
WJ,WebJet Linhas A,Brazil,38,0.0152979066,3
VP,VASP,Brazil,0,0.0,0
7W,Wayraper,Peru,0,0.0,0
WA,Western Airlines,United States,0,0.0,0
RG,VRG Linhas Aereas,Brazil,10,0.0040257649,3
VG,VLM Airlines,Belgium,0,0.0,0
8O,West Coast Air,Canada,0,0.0,0
IV,Wind Jet,Italy,0,0.0,0
SE,XL Airways France,France,32,0.0128824477,3
XW,Sky Express,Russia,0,0.0,0
WO,World Airways,United States,0,0.0,0
8Q,Maldivian Air Taxi,Maldives,36,0.0144927536,3
Z4,Zoom Airlines,Canada,10,0.0040257649,3
2W,Welcome Air,Austria,0,0.0,0
GH,Globus,Russia,0,0.0,0
VJ,Royal Air Cambodge,Cambodia,34,0.0136876006,3
6T,Air Mandalay,Burma,22,0.0088566828,3
9Y,Air Kazakhstan,Kazakhstan,0,0.0,0
JD,Japan Air System,Japan,214,0.0861513688,5
WP,Island Air (WP),United States,6,0.0024154589,3
5H,Fly540,Kenya,18,0.0072463768,3
KW,Carnival Air Lines,United States,0,0.0,0
YD,Gomelavia,Belarus,0,0.0,0
4H,United Airways,Bangladesh,32,0.0128824477,3
HK,Yangon Airways,Burma,6,0.0024154589,3
GY,Gabon Airlines,Gabon,2,0.000805153,2
11,TUIfly (X3),Germany,0,0.0,0
YX,Midwest Airlines,United States,0,0.0,0
--,ELK Airways,Estonia,0,0.0,0
Z2,Zest Air,Philippines,32,0.0128824477,3
ML,Maldivo Airlines,Maldives,0,0.0,0
VH,Virgin Pacific,Fiji,12,0.0048309179,3
B1,Baltic Air lines,Latvia,0,0.0,0
CN,Canadian National Airways,Canada,10,0.0040257649,3
5P,Pal airlines,Chile,4,0.001610306,3
3I,Air Comet Chile,Chile,0,0.0,0
SZ,Salzburg arrows,Austria,48,0.0193236715,3
TQ,Texas Wings,United States,0,0.0,0
V5,Danube Wings (V5),Slovakia,0,0.0,0
ZZ,Zz,Belgium,0,0.0,0
QA,Click (Mexicana),Mexico,0,0.0,0
DH,Dennis Sky,Israel,13,0.0052334944,3
C1,CanXpress,Canada,0,0.0,0
99,Ciao Air,Italy,0,0.0,0
L8,Line Blue,Germany,0,0.0,0
SH,Sharp Airlines,Australia,10,0.0040257649,3
3E,Air Choice One,United States,10,0.0040257649,3
C2,CanXplorer,Canada,0,0.0,0
A1,Atifly,United States,0,0.0,0
ZQ,Locair,United States,0,0.0,0
V9,Star1 Airlines,Lithuania,10,0.0040257649,3
I6,MexicanaLink,Mexico,20,0.0080515298,3
4Q,Safi Airlines,Afghanistan,14,0.0056360709,3
01,Bobb Air Freight,Germany,0,0.0,0
PF,Primera Air,Iceland,0,0.0,0
T0,TACA Peru,Peru,0,0.0,0
J4,ALAK,Russia,8,0.0032206119,3
W1,World Experience Airline,Canada,0,0.0,0
V6,VIP Ecuador,Ecuador,0,0.0,0
J5,Alaska Seaplane Service,United States,15,0.0060386473,3
7Q,Pan Am World Airways Dominicana,Dominican Republic,0,0.0,0
P9,Peruvian Airlines,Peru,16,0.0064412238,3
IP,Island Spirit,Iceland,0,0.0,0
OC,Catovair,Mauritius,8,0.0032206119,3
4P,Business Aviation,Congo (Kinshasa),0,0.0,0
7Z,Halcyonair,Cape Verde,0,0.0,0
K7,KoralBlue Airlines,Egypt,0,0.0,0
P7,Regional Paraguaya,Paraguay,0,0.0,0
K8,Zambia Skyways,Zambia,8,0.0032206119,3
HT,Hellenic Imperial Airways,Greece,0,0.0,0
Q9,Arik Niger,Niger,24,0.0096618357,3
WD,Amsterdam Airlines,Netherlands,0,0.0,0
7Y,Med Airways,Lebanon,0,0.0,0
ZF,Athens Airways,Greece,0,0.0,0
DA,Dana Air,Nigeria,0,0.0,0
UQ,Skyjet Airlines,Uganda,0,0.0,0
RL,Royal Falcon,Jordan,9,0.0036231884,3
VQ,Viking Hellas,Greece,8,0.0032206119,3
SM,Spirit of Manila Airlines,Philippines,0,0.0,0
G6,Air Volga,Russia,0,0.0,0
4L,Euroline,Georgia,0,0.0,0
GP,Gadair European Airlines,Spain,0,0.0,0
6P,Gryphon Airlines,United States,0,0.0,0
L7,Lugansk Airlines,Ukraine,0,0.0,0
E4,Elysian Airlines,Cameroon,0,0.0,0
JR,Joy Air,China,0,0.0,0
DZ,Starline.kz,Kazakhstan,4,0.001610306,3
1C,OneChina,China,0,0.0,0
PN,West Air China,China,90,0.0362318841,3
CD,Air India Regional,India,0,0.0,0
XN,Xpressair,Indonesia,0,0.0,0
F8,Air2there,New Zealand,0,0.0,0
5E,SGA Airlines,Thailand,0,0.0,0
C3,QatXpress,Qatar,0,0.0,0
VC,Strategic Airlines,Australia,0,0.0,0
AO,Avianova (Russia),Russia,0,0.0,0
9H,MDLR Airlines,India,0,0.0,0
MR,Homer Air,Germany,21,0.0084541063,3
ES,EuropeSky,Germany,0,0.0,0
PA,Parmiss Airlines (IPV),Iran,0,0.0,0
WU,Wizz Air Ukraine,Ukraine,42,0.0169082126,3
BQ,Buquebus Líneas Aéreas,Uruguay,0,0.0,0
-+,U.S. Air,United States,0,0.0,0
WQ,PanAm World Airways,United States,0,0.0,0
^^,Whitaker Air,Australia,0,0.0,0
;;,Wilderness Air,Australia,0,0.0,0
47,88,Cyprus,0,0.0,0
YY,Virginwings,Germany,0,0.0,0
GB,BRAZIL AIR,Brazil,0,0.0,0
69,Royal European Airlines,United Kingdom,0,0.0,0
LQ,LCM AIRLINES,Russia,0,0.0,0
&T,Tom\\'s & co airliners,France,0,0.0,0
XZ,Congo Express,Congo (Kinshasa),0,0.0,0
UR,UTair-Express,Russia,76,0.0305958132,3
C4,LionXpress,Cameroon,0,0.0,0
ZP,Zabaykalskii Airlines,Russia,0,0.0,0
TB,TrasBrasil,Brazil,0,0.0,0
M4,Marysya Airlines,Russia,19,0.0076489533,3
N1,N1,Peru,0,0.0,0
D1,Domenican Airlines,Dominican Republic,0,0.0,0
YZ,LSM AIRLINES ,Russia,0,0.0,0
PQ,LSM Airlines,Russia,6,0.0024154589,3
HH,Air Hamburg (AHO),Germany,0,0.0,0
P8,Air Mekong,Vietnam,0,0.0,0
3B,JobAir,Czech Republic,0,0.0,0
BZ,Black Stallion Airways,United States,0,0.0,0
TI,TransHolding,Brazil,0,0.0,0
GM,German International Air Lines,Germany,0,0.0,0
TH,TransBrasil Airlines,Brazil,0,0.0,0
Z6,ZABAIKAL AIRLINES,Russia,20,0.0080515298,3
МИ,KMV,Russia,0,0.0,0
CB,CCML Airlines,Colombia,0,0.0,0
S1,Serbian Airlines,Serbia,0,0.0,0
W7,Austral Brasil,Brazil,0,0.0,0
YO,TransHolding System,Brazil,4,0.001610306,3
G1,Indya Airline Group,India,0,0.0,0
RS,Sky Regional,Canada,0,0.0,0
WG,Sunwing,Canada,0,0.0,0
Y1,Yellowstone Club Private Shuttle,United States,0,0.0,0
N0,Norte Lineas Aereas,Argentina,0,0.0,0
T6,Trans Pas Air,United States,0,0.0,0
F1,Fly Brasil,Brazil,0,0.0,0
6U,Air Cargo Germany,Germany,0,0.0,0
ZX,Japan Regio,Japan,0,0.0,0
NS,Caucasus Airlines,Georgia,62,0.0249597424,3
3F,Fly Colombia ( Interliging Flights ),Colombia,12,0.0048309179,3
II,LSM International ,Russia,0,0.0,0
7M,Mongolian International Air Lines ,Mongolia,8,0.0032206119,3
L4,Luchsh Airlines ,Russia,0,0.0,0
Z7,REDjet,Barbados,0,0.0,0
GN,GNB Linhas Aereas,Brazil,0,0.0,0
PT,Red Jet Andes,Peru,0,0.0,0
YQ,Polet Airlines (Priv),Russia,14,0.0056360709,3
XV,BVI Airways,British Virgin Islands,6,0.0024154589,3
CQ,SOCHI AIR,Russia,0,0.0,0
Y8,Marusya Airways,Russia,30,0.0120772947,3
HN,Hankook Airline,South Korea,6,0.0024154589,3
ZJ,Zambezi Airlines (ZMA),Zambia,0,0.0,0
W4,AeroWorld ,Russia,14,0.0056360709,3
4X,Red Jet Mexico,Mexico,0,0.0,0
R8,AirRussia,Russia,0,0.0,0
7H,Era Alaska,United States,224,0.0901771337,5
12,12 North,India,0,0.0,0
E1,Usa Sky Cargo,United States,0,0.0,0
SO,Salsa d\\'Haiti,Haiti,0,0.0,0
L6,Mauritania Airlines International,Mauritania,30,0.0120772947,3
6F,MAT Airways,Macedonia,0,0.0,0
AW,Asian Wings Airways,Burma,6,0.0024154589,3
CT,Alitalia Cityliner,Italy,0,0.0,0
S9,Starbow Airlines,Ghana,8,0.0032206119,3
C7,Sky Wing Pacific,South Korea,0,0.0,0
OI,Orchid Airlines,Australia,0,0.0,0
PP,Air Indus,Pakistan,0,0.0,0
8B,BusinessAir,Thailand,12,0.0048309179,3
DN,Senegal Airlines,Senegal,32,0.0128824477,3
I5,Indonesia Sky,Indonesia,0,0.0,0
6I,Fly 6ix,Sierra Leone,2,0.000805153,2
0X,Copenhagen Express,Denmark,0,0.0,0
U1,Aviabus,Russia,0,0.0,0
XR,Skywest Australia,Australia,0,0.0,0
DF,Michael Airlines,Puerto Rico,0,0.0,0
ZC,Korongo Airlines,Congo (Kinshasa),0,0.0,0
76,Southjet,United States,0,0.0,0
B0,Aws express,United States,0,0.0,0
Y5,Asia Wings,Kazakhstan,4,0.001610306,3
4O,Interjet (ABC Aerolineas),Mexico,114,0.0458937198,3
77,Southjet connect,United States,0,0.0,0
I2,Iberia Express,Spain,0,0.0,0
A6,Air Alps Aviation (A6),Austria,0,0.0,0
NJ,Nordic Global Airlines,Finland,0,0.0,0
78,Southjet cargo,United States,0,0.0,0
OG,AirOnix,Ukraine,0,0.0,0
P4,Patriot Airways,United States,21,0.0084541063,3
WH,China Northwest Airlines (WH),China,0,0.0,0
5Q,BQB Lineas Aereas,Uruguay,18,0.0072463768,3
V2,Vision Airlines (V2),United States,0,0.0,0
FH,FlyHigh Airlines Ireland (FH),Ireland,0,0.0,0
O1,Orbit Airlines Azerbaijan,Azerbaijan,0,0.0,0
ZN,Zenith International Airline,Thailand,0,0.0,0
YH,Yangon Airways Ltd.,Burma,0,0.0,0
SX,SkyWork Airlines ,Switzerland,24,0.0096618357,3
7I,Insel Air (7I/INC) (Priv),Netherlands Antilles,45,0.018115942,3
TJ,T.J. Air,United States,14,0.0056360709,3
W2,Maastricht Airlines,Netherlands,62,0.0249597424,3
Q3,SOCHI AIR CHATER,Russia,2,0.000805153,2
24,Euro Jet,Germany,0,0.0,0
J7,Denim Air ,Norway,0,0.0,0
M1,Maryland Air,United States,0,0.0,0
